City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Date
0,Butaritari,3.07,172.79,85.28,76,100,15.26,KI,moderate rain,3.81,0,1/5/2020 19:59
1,Bathsheba,13.22,-59.52,80.6,69,75,14.99,BB,light intensity shower rain,0,0,1/5/2020 19:59
2,Yellowknife,62.45,-114.38,-13,75,40,6.93,CA,scattered clouds,0,0,1/5/2020 19:55
3,Kaitangata,-46.28,169.85,48.99,72,80,17,NZ,light rain,1.19,0,1/5/2020 19:58
4,Newberry,46.35,-85.51,32,92,90,11.41,US,light snow,0,0,1/5/2020 19:59
5,Avarua,-21.21,-159.78,80.6,88,100,8.05,CK,light rain,0.75,0,1/5/2020 19:59
6,Luderitz,-26.65,15.16,63.55,85,0,24.99,NA,clear sky,0,0,1/5/2020 19:59
7,Kapaa,22.08,-159.32,78.8,74,20,11.95,US,few clouds,0,0,1/5/2020 19:59
8,Bluff,-23.58,149.07,74.39,77,0,10.36,AU,clear sky,0,0,1/5/2020 19:59
9,Istmina,5.16,-76.69,86,70,75,2.57,CO,broken clouds,0,0,1/5/2020 19:59
10,Punta Arenas,-53.16,-70.91,57.2,47,40,25.28,CL,scattered clouds,0,0,1/5/2020 19:59
11,New Norfolk,-42.78,147.06,54,76,20,9.17,AU,few clouds,0,0,1/5/2020 19:59
12,Sisimiut,66.94,-53.67,-1.3,96,100,6.71,GL,light snow,0,0.56,1/5/2020 19:59
13,Saint George,39.45,22.34,42.8,80,90,11.41,GR,overcast clouds,0,0,1/5/2020 19:59
14,Poshtove,49.79,28.1,30.07,88,100,11.92,UA,light snow,0,0.19,1/5/2020 19:59
15,Narsaq,60.91,-46.05,15.8,61,20,8.05,GL,few clouds,0,0,1/5/2020 19:59
16,Albany,42.65,-73.75,35.01,50,40,19.46,US,scattered clouds,0,0,1/5/2020 19:54
17,Busselton,-33.64,115.35,60.01,40,0,9.35,AU,clear sky,0,0,1/5/2020 19:59
18,Ushuaia,-54.81,-68.31,51.8,76,75,32.21,AR,shower rain,0,0,1/5/2020 19:59
19,Cape Town,-33.93,18.42,68,82,75,9.17,ZA,broken clouds,0,0,1/5/2020 19:56
20,Saskylakh,71.97,114.09,-19.21,94,0,13.09,RU,clear sky,0,0,1/5/2020 19:59
21,Bijie,27.3,105.3,41.99,95,100,5.41,CN,light rain,2.13,0,1/5/2020 19:59
22,Vaini,15.34,74.49,66.11,79,0,6.89,IN,clear sky,0,0,1/5/2020 19:59
23,Nanortalik,60.14,-45.24,26.4,70,0,11.77,GL,clear sky,0,0,1/5/2020 19:59
24,Kyren,51.68,102.13,3.09,72,0,5.23,RU,clear sky,0,0,1/5/2020 19:59
25,Ilulissat,69.22,-51.1,8.6,71,75,5.82,GL,light snow,0,0,1/5/2020 19:58
26,Almaznyy,48.03,40.04,33.8,100,75,4.47,RU,light rain,0,0,1/5/2020 19:59
27,Rikitea,-23.12,-134.97,76.03,78,67,15.41,PF,broken clouds,0,0,1/5/2020 19:59
28,Kibondo,-3.59,30.72,64.11,92,100,1.92,TZ,light rain,2.13,0,1/5/2020 19:59
29,Port Hedland,-20.31,118.58,84.2,74,90,10.29,AU,overcast clouds,0,0,1/5/2020 19:59
30,Thompson,55.74,-97.86,5,84,90,6.93,CA,light snow,0,0,1/5/2020 19:59
31,Raudeberg,61.99,5.14,48,100,75,17.22,NO,moderate rain,0,0,1/5/2020 19:59
32,Mataura,-46.19,168.86,48,85,87,21,NZ,light rain,1.56,0,1/5/2020 19:55
33,Baykit,61.68,96.39,9.34,96,100,4.05,RU,overcast clouds,0,0,1/5/2020 19:59
34,Aswan,24.09,32.9,46,41,0,6.64,EG,clear sky,0,0,1/5/2020 19:59
35,Salinas,36.67,-121.66,57.99,76,1,3.36,US,clear sky,0,0,1/5/2020 19:59
36,Hermanus,-34.42,19.24,64,89,100,11.03,ZA,overcast clouds,0,0,1/5/2020 19:59
37,Japura,-0.42,102.29,72.21,96,1,2.26,ID,clear sky,0,0,1/5/2020 19:59
38,Cabra,37.47,-4.43,45,93,0,2.04,ES,clear sky,0,0,1/5/2020 19:59
39,Jamestown,-33.21,138.6,56.25,87,89,5.93,AU,light rain,2.19,0,1/5/2020 19:59
40,Labuhan,-2.54,115.51,72.39,95,100,2.39,ID,moderate rain,3.06,0,1/5/2020 19:59
41,Atar,20.52,-13.05,56.75,22,0,8.41,MR,clear sky,0,0,1/5/2020 19:59
42,Samana,0.12,-76.97,91.4,55,40,5.82,EC,scattered clouds,0,0,1/5/2020 19:59
43,Zhigansk,66.77,123.37,-10.32,94,100,15.64,RU,overcast clouds,0,0,1/5/2020 19:59
44,Balikpapan,-1.24,116.86,73.87,96,100,5.32,ID,overcast clouds,0,0,1/5/2020 19:59
45,Ewa Beach,21.32,-158.01,77,83,90,4.7,US,light intensity drizzle,0,0,1/5/2020 19:56
46,Khatanga,71.98,102.47,-8.95,88,100,6.8,RU,overcast clouds,0,0,1/5/2020 19:59
47,Quelimane,-17.88,36.89,82.4,83,75,3.36,MZ,broken clouds,0,0,1/5/2020 19:59
48,Wonthaggi,-38.6,145.59,55,95,100,6.53,AU,light rain,1,0,1/5/2020 19:59
49,Clyde River,70.47,-68.59,-41.8,57,20,4.7,CA,few clouds,0,0,1/5/2020 19:59
50,Sitka,37.17,-99.65,52,37,2,4,US,clear sky,0,0,1/5/2020 19:59
51,Los Llanos De Aridane,28.66,-17.92,64.4,63,20,9.17,ES,few clouds,0,0,1/5/2020 19:59
52,Arraial Do Cabo,-22.97,-42.02,82.4,83,40,12.75,BR,scattered clouds,0,0,1/5/2020 19:59
53,Port Elizabeth,39.31,-74.98,43,44,90,11.41,US,overcast clouds,0,0,1/5/2020 19:58
54,Bubaque,11.28,-15.83,77.5,57,5,18.01,GW,clear sky,0,0,1/5/2020 19:59
55,Fairbanks,64.84,-147.72,-18.99,92,75,3.36,US,snow,0,0,1/5/2020 19:59
56,Kavieng,-2.57,150.8,84.27,73,56,7.54,PG,light rain,2,0,1/5/2020 19:59
57,Hofn,64.25,-15.21,43.52,74,100,12.55,IS,overcast clouds,0,0,1/5/2020 19:59
